weight,transportation_type,zone,service_type,price
1 lbs,air,2,FedEx First Overnight,73.31
2 lbs,air,2,FedEx First Overnight,73.87
3 lbs,air,2,FedEx First Overnight,77.77
4 lbs,air,2,FedEx First Overnight,82.02
5 lbs,air,2,FedEx First Overnight,82.45
6 lbs,air,2,FedEx First Overnight,89.98
7 lbs,air,2,FedEx First Overnight,90.74
8 lbs,air,2,FedEx First Overnight,91.0
9 lbs,air,2,FedEx First Overnight,91.27
10 lbs,air,2,FedEx First Overnight,91.81
11 lbs,air,2,FedEx First Overnight,102.44
12 lbs,air,2,FedEx First Overnight,104.12
13 lbs,air,2,FedEx First Overnight,104.39
14 lbs,air,2,FedEx First Overnight,105.89
15 lbs,air,2,FedEx First Overnight,106.16
16 lbs,air,2,FedEx First Overnight,111.04
17 lbs,air,2,FedEx First Overnight,115.64
18 lbs,air,2,FedEx First Overnight,116.32
19 lbs,air,2,FedEx First Overnight,116.87
20 lbs,air,2,FedEx First Overnight,117.31
21 lbs,air,2,FedEx First Overnight,121.08
22 lbs,air,2,FedEx First Overnight,125.22
23 lbs,air,2,FedEx First Overnight,125.74
24 lbs,air,2,FedEx First Overnight,128.25
25 lbs,air,2,FedEx First Overnight,128.75
26 lbs,air,2,FedEx First Overnight,134.75
27 lbs,air,2,FedEx First Overnight,135.36
28 lbs,air,2,FedEx First Overnight,137.54
29 lbs,air,2,FedEx First Overnight,138.08
30 lbs,air,2,FedEx First Overnight,138.57
31 lbs,air,2,FedEx First Overnight,142.67
32 lbs,air,2,FedEx First Overnight,145.85
33 lbs,air,2,FedEx First Overnight,148.6
34 lbs,air,2,FedEx First Overnight,151.12
35 lbs,air,2,FedEx First Overnight,153.69
36 lbs,air,2,FedEx First Overnight,158.77
37 lbs,air,2,FedEx First Overnight,159.3
38 lbs,air,2,FedEx First Overnight,159.6
39 lbs,air,2,FedEx First Overnight,160.11
40 lbs,air,2,FedEx First Overnight,160.43
41 lbs,air,2,FedEx First Overnight,166.14
42 lbs,air,2,FedEx First Overnight,168.12
43 lbs,air,2,FedEx First Overnight,171.8
44 lbs,air,2,FedEx First Overnight,174.98
45 lbs,air,2,FedEx First Overnight,181.82
46 lbs,air,2,FedEx First Overnight,185.95
47 lbs,air,2,FedEx First Overnight,188.18
48 lbs,air,2,FedEx First Overnight,188.46
49 lbs,air,2,FedEx First Overnight,188.72
50 lbs,air,2,FedEx First Overnight,158.62
51 lbs,air,2,FedEx First Overnight,179.19
52 lbs,air,2,FedEx First Overnight,176.51
53 lbs,air,2,FedEx First Overnight,181.15
54 lbs,air,2,FedEx First Overnight,181.7
55 lbs,air,2,FedEx First Overnight,182.37
56 lbs,air,2,FedEx First Overnight,195.59
57 lbs,air,2,FedEx First Overnight,197.27
58 lbs,air,2,FedEx First Overnight,197.84
59 lbs,air,2,FedEx First Overnight,198.39
60 lbs,air,2,FedEx First Overnight,198.96
61 lbs,air,2,FedEx First Overnight,209.34
62 lbs,air,2,FedEx First Overnight,211.73
63 lbs,air,2,FedEx First Overnight,212.35
64 lbs,air,2,FedEx First Overnight,222.98
65 lbs,air,2,FedEx First Overnight,224.06
66 lbs,air,2,FedEx First Overnight,224.64
67 lbs,air,2,FedEx First Overnight,226.78
68 lbs,air,2,FedEx First Overnight,231.91
69 lbs,air,2,FedEx First Overnight,232.45
70 lbs,air,2,FedEx First Overnight,233.02
71 lbs,air,2,FedEx First Overnight,239.67
72 lbs,air,2,FedEx First Overnight,241.2
73 lbs,air,2,FedEx First Overnight,241.76
74 lbs,air,2,FedEx First Overnight,242.34
75 lbs,air,2,FedEx First Overnight,243.48
76 lbs,air,2,FedEx First Overnight,245.23
